Extracting MNIST_data\train-images-idx3-ubyte.gz
Extracting MNIST_data\train-labels-idx1-ubyte.gz
Extracting MNIST_data\t10k-images-idx3-ubyte.gz
Extracting MNIST_data\t10k-labels-idx1-ubyte.gz
train loss: 2.2965 | test accuracy: 0.13
train loss: 0.1020 | test accuracy: 0.97
train loss: 0.0874 | test accuracy: 0.98
train loss: 0.0325 | test accuracy: 0.98
train loss: 0.0506 | test accuracy: 0.98
train loss: 0.0919 | test accuracy: 0.98
train loss: 0.1015 | test accuracy: 0.98
train loss: 0.1238 | test accuracy: 0.98
train loss: 0.0088 | test accuracy: 0.98
train loss: 0.0177 | test accuracy: 0.99
train loss: 0.0283 | test accuracy: 0.98
train loss: 0.0022 | test accuracy: 0.98
train loss: 0.0065 | test accuracy: 0.98
train loss: 0.0135 | test accuracy: 0.99
train loss: 0.0410 | test accuracy: 0.98
train loss: 0.1936 | test accuracy: 0.98
train loss: 0.0087 | test accuracy: 0.98
train loss: 0.0104 | test accuracy: 0.98
train loss: 0.0755 | test accuracy: 0.98
train loss: 0.0145 | test accuracy: 0.98
train loss: 0.0022 | test accuracy: 0.98
train loss: 0.0231 | test accuracy: 0.99
train loss: 0.0315 | test accuracy: 0.98
train loss: 0.0910 | test accuracy: 0.98
train loss: 0.0134 | test accuracy: 0.98
train loss: 0.0028 | test accuracy: 0.98
train loss: 0.0130 | test accuracy: 0.98
train loss: 0.0341 | test accuracy: 0.98
train loss: 0.0219 | test accuracy: 0.98
train loss: 0.0038 | test accuracy: 0.98
train loss: 0.0190 | test accuracy: 0.98
train loss: 0.0333 | test accuracy: 0.98
train loss: 0.0023 | test accuracy: 0.99
train loss: 0.0548 | test accuracy: 0.98
train loss: 0.0147 | test accuracy: 0.98
train loss: 0.0246 | test accuracy: 0.98
train loss: 0.0351 | test accuracy: 0.98
train loss: 0.0704 | test accuracy: 0.98
train loss: 0.0075 | test accuracy: 0.98
train loss: 0.0093 | test accuracy: 0.98
train loss: 0.0989 | test accuracy: 0.98
train loss: 0.0086 | test accuracy: 0.98
train loss: 0.0183 | test accuracy: 0.98
train loss: 0.0240 | test accuracy: 0.98
train loss: 0.0796 | test accuracy: 0.98
train loss: 0.0531 | test accuracy: 0.98
train loss: 0.0945 | test accuracy: 0.98
train loss: 0.0382 | test accuracy: 0.98
train loss: 0.1797 | test accuracy: 0.97
train loss: 0.0895 | test accuracy: 0.97
train loss: 0.1092 | test accuracy: 0.97
train loss: 0.0217 | test accuracy: 0.96
train loss: 0.3145 | test accuracy: 0.95
train loss: 0.1012 | test accuracy: 0.96
train loss: 0.1474 | test accuracy: 0.97
train loss: 0.2981 | test accuracy: 0.96
train loss: 0.0975 | test accuracy: 0.97
train loss: 0.1713 | test accuracy: 0.95
train loss: 0.5444 | test accuracy: 0.79
train loss: 1.4097 | test accuracy: 0.48
train loss: 1.3000 | test accuracy: 0.56
train loss: 0.8400 | test accuracy: 0.76
train loss: 1.5598 | test accuracy: 0.50
train loss: 1.2943 | test accuracy: 0.54
